Data_value,95%_HDI_lower,95%_HDI_higher,p_value
0.0,-0.13540475080778724,0.1404129578803277,0.4975
0.0,-0.13585447205874696,0.14099695145509183,0.4965
0.0,-0.14013369566890627,0.13721057332018133,0.50215
0.0,-0.13934315121096041,0.13659689449799253,0.5028
0.0,-0.1412933018980618,0.1354570021994666,0.4927
0.0,-0.13419301051663435,0.14451237575270512,0.5386
0.0,-0.13403805698317264,0.14204418147600942,0.5141
0.0,-0.14246428931820102,0.13615944895124138,0.4999
0.0,-0.13741141725641698,0.1387743600374731,0.4937
0.0,-0.1392182763921071,0.13679016497823163,0.5028
0.0,-0.13448323542143822,0.14295574340456635,0.4982
0.0,-0.13761799103395367,0.13796768783652968,0.50145
0.0,-0.14135964393999437,0.13577191903472494,0.5021
0.0,-0.14013094527132883,0.13853157897209317,0.49885
0.0,-0.1397289811461742,0.13781803576533777,0.5017
0.0,-0.1411946802658493,0.13623416011166145,0.4513
0.0,-0.14826264311846943,0.1306011629720669,0.4381
0.0,-0.14656203523076541,0.1300494360568106,0.4734
0.0,-0.14330579214168093,0.13416547487008637,0.5029
0.0,-0.13443375904690713,0.14076534831019194,0.49235
0.0,-0.13280479481030727,0.1413649879273705,0.5032
0.0,-0.14060107002797495,0.1339753199688046,0.49555
0.0,-0.13925028850240245,0.1387911539474963,0.49325
0.0,-0.14090708989875406,0.1361330534465517,0.5053
0.0,-0.13982030306193485,0.13804702072243316,0.5041
0.0,-0.13879495217575183,0.1371019829440825,0.49405
0.0,-0.13686263569005935,0.13841818051891844,0.49645
0.0,-0.13972160778440706,0.13510165904883886,0.4992
0.0,-0.1424368671466672,0.134879050335732,0.4924
0.0,-0.1340506828932338,0.14152868541299696,0.49305
0.0,-0.13541445520796438,0.1396073383913344,0.50625
0.0,-0.13677102107511366,0.1422561598801941,0.49575
0.0,-0.13812676333841686,0.1341778157726852,0.49875
0.0,-0.1412715277148177,0.13217338308705967,0.4981
0.0,-0.15076501682325757,0.12640707267638934,0.47305
0.0,-0.1424390324544302,0.1358000966579393,0.4926
0.0,-0.1395368597894619,0.13544220603045945,0.4952
0.0,-0.14167652383834148,0.13767564240400335,0.49965
0.0,-0.14027270990795365,0.13759421236112476,0.49475
0.0,-0.1350985835647392,0.141159372725519,0.5001
0.0,-0.1406049310117648,0.13499589077766652,0.48895
0.0,-0.13688562938352505,0.1404633973994217,0.4993
0.0,-0.14770658896005784,0.13060604468510068,0.4761
0.0,-0.15409001319383908,0.1167826697209171,0.3787
0.0,-0.1325990737659241,0.14101534204207863,0.49985
0.0,-0.13291873706547885,0.14224158143911841,0.49555
