Number_of_data_points,Gaussian_informative,Gaussian_uninformative,Proposed_informative,Proposed_uninformative,Ridge,MLP
0.0,1.5600731161423755,3.871626096674198,1.5594647188238893,3.871438105116608,5.46363386401395,5.48527524153439
1.0,1.4632261108843623,3.6451486866457543,1.4619498701750737,3.6451433693140043,5.130524802877254,5.221890309310839
2.0,1.3578968168004866,3.4946766025609253,1.3529765619373375,3.4945202587888375,4.883592890856132,4.937229768836789
3.0,1.2472782018416269,3.165704617340347,1.243240309577002,3.1627503201142066,4.4392718019984905,4.829313135729949
4.0,1.1305563868853445,3.003432324488592,1.1163137574664381,3.000561883660307,4.207336152629413,4.568570532869482
5.0,1.0427704616988713,2.8822311229929354,1.0322276274569517,2.8774784891204126,3.987856062774059,4.336204378553929
6.0,0.924389215711205,2.6150626620046915,0.9170120912925112,2.6055754475069737,3.5708227646632675,4.166140710403958
7.0,0.8253605723388836,2.3148127628933817,0.8199306896050034,2.2741771614390967,3.1468400131816323,3.9174320660848907
8.0,0.7175366760594858,2.1688076695313283,0.7106537112260395,2.1263460165490233,2.8414532743646537,3.666079039949244
9.0,0.6278872637918608,1.9866206079022728,0.629951552529982,1.880124662811361,2.5264499869508628,3.413386346478275
10.0,0.516641325780335,1.7009960827148485,0.5330706571390487,1.608840365852759,2.1857744045501892,3.0478697566346216
11.0,0.45065619961822917,1.4985274099987627,0.4771040707651917,1.4306048577697328,1.9171921701996777,2.8418526320083175
12.0,0.37838730712525964,1.0353809401882133,0.4116993805845417,0.995331583592693,1.3343400395067775,2.426356921651762
13.0,0.31488429320913336,0.8287264342782475,0.3500124632066474,0.7852296357057947,1.1603722124998468,2.1798579899408654
14.0,0.2531008730959909,0.601598729769279,0.30086076343094376,0.5629975149238386,0.8004580356552783,1.8386041803456907
15.0,0.1955618858954194,0.38157772305485904,0.2554407253771883,0.36389371359860007,0.45199529939606636,1.4130195841615367
16.0,0.1809628357101452,0.3072548280840098,0.24041191593054723,0.30253394959791735,0.3779243152546295,1.1988989538750459
17.0,0.14610505341461782,0.19621556771517681,0.2124781477928306,0.2152200026975206,0.2403276019664454,0.802558693277155
18.0,0.13396265920657346,0.16536970899398112,0.20048542350800141,0.1870774143240006,0.2091250586585203,0.6373787962770258
19.0,0.11173069671178042,0.11003029872286829,0.184011009025917,0.14429574396755662,0.15368513759635893,0.35104607275158267
20.0,0.0946187517035158,0.09469159493974803,0.16511578491135986,0.13321625976758755,0.13334232038769256,0.11140849699324706
